Date and time of GPS data in UTC, FileName GPS signal acquisition time
Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCBTep (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCBTep (C) stbd,Error Code stbd
01/18/2022,21:03:20.199,15,0.9,30.3526,-89.6303,-0.010996,69.024,315,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:21.198,15,0.9,30.3526,-89.6303,-0.0104679,69.003,248.199,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:22.199,15,0.9,30.3526,-89.6303,-0.0179213,68.987,282.529,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:24.198,15,0.9,30.3526,-89.6303,-0.0261517,69.025,318.013,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:25.198,15,0.9,30.3526,-89.6303,-0.0313435,68.987,330.255,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:26.198,15,0.9,30.3526,-89.6303,-0.0253446,69.023,327.529,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:27.199,15,0.9,30.3526,-89.6302,0.0214704,69.011,354.806,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:28.198,15,0.9,30.3526,-89.6302,0.0350431,69.008,356.82,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:29.199,15,0.9,30.3526,-89.6302,0.0396467,68.98,348.69,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:30.198,15,0.9,30.3526,-89.6302,0.053764,69.045,347.471,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:31.198,15,0.9,30.3526,-89.6302,0.0375418,69.094,338.749,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:32.198,15,0.9,30.3526,-89.6302,0.0428086,69.116,357.397,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:34.199,15,0.8,30.3526,-89.6302,-0.03439,69.186,317.291,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:35.198,15,0.8,30.3526,-89.6302,-0.0443264,69.173,307.875,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:36.399,15,0.8,30.3526,-89.6302,-0.0373399,69.179,308.66,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:37.398,15,0.8,30.3526,-89.6302,-0.0443264,69.207,307.875,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:38.399,15,0.8,30.3526,-89.6302,-0.03439,69.177,312.709,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:39.399,15,0.8,30.3526,-89.6302,-0.0412351,69.199,315,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:40.398,15,0.8,30.3526,-89.6302,-0.0332164,69.221,290.556,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:41.399,15,0.8,30.3526,-89.6302,-0.0176022,69.219,276.34,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:42.398,15,0.8,30.3526,-89.6302,-0.0160293,69.222,255.964,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:44.398,15,0.8,30.3526,-89.6302,-0.0296714,69.268,301.608,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:45.399,15,0.8,30.3526,-89.6302,-0.0453378,69.264,329.036,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:46.399,15,0.8,30.3526,-89.6302,-0.0318813,69.247,307.569,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:47.398,15,0.8,30.3526,-89.6302,-0.0390707,69.24,174.289,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:48.399,15,0.8,30.3526,-89.6302,-0.0377425,69.369,325.491,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:49.398,15,0.8,30.3526,-89.6302,0.0521587,69.336,333.435,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:50.399,15,0.8,30.3526,-89.6302,0.00869312,69.33,63.4349,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:51.399,15,0.8,30.3526,-89.6302,-0.0287005,69.334,151.699,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:52.399,15,0.8,30.3526,-89.6302,-0.00583152,69.341,180,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:54.398,16,0.8,30.3526,-89.6302,-0.0385841,69.355,310.914,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:55.399,16,0.8,30.3526,-89.6302,-0.0124466,69.376,308.66,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:56.398,16,0.8,30.3526,-89.6302,-0.0124466,69.378,308.66,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:57.399,16,0.8,30.3526,-89.6302,-0.0272138,69.378,270,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:58.598,16,0.8,30.3526,-89.6302,-0.0381904,69.356,284.744,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:59.398,16,0.8,30.3526,-89.6302,-0.0516491,69.338,289.799,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:00.598,16,0.8,30.3526,-89.6302,-0.0518681,69.319,282.995,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:01.398,16,0.8,30.3526,-89.6302,-0.0272138,69.321,270,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:02.598,16,0.8,30.3526,-89.6302,-0.0210258,69.327,326.31,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:04.598,16,0.8,30.3526,-89.6302,-0.0260794,69.378,333.435,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:05.598,16,0.8,30.3526,-89.6302,-0.0167215,69.404,324.462,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:06.598,16,0.8,30.3526,-89.6302,-0.0140172,69.416,326.31,0,0,0,0,0,0,0,0,0,0,0,0
